nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
P.E. CHUBUT NORTE III,Eolica,57.66,CHUBUT
P.E. CHUBUT NORTE II,Eolica,26.28,CHUBUT
P.E. Kosten,Eolica,24,CHUBUT
CG La Plata YPF,Termica,90.2,BUENOS AIRES
Proyecto Solar Tamberias (MATER),Fotovoltaica,2.7,SAN JUAN
L.BLANC 2 ENARS,Eolica,51.2,CHUBUT
Parque Eólico Los Teros,Eolica,122.56,BUENOS AIRES
C.T. PACUCA BIO ENERGIA. ROQUE PEREZ. BSAS.,Biogas,1,BUENOS AIRES
C.T. General Alvear,Biogas,1,BUENOS AIRES
P.E. Miramar,Eolica,98.6,BUENOS AIRES
COG Terminal 6,Termica,305.34,SANTA FE
COG Terminal 6,Termica,74.7,SANTA FE
PE Vient Secano,Eolica,50,BUENOS AIRES
C.T. BIOMASA UNITAN. Puerto Tirol,Biomasa,6.7,CHACO
H Guaym. Slto 6,Hidroelectrica (Menor a 50 Mw),1.2,MENDOZA
C.T. VENADO TUERTO. BG. SEEDS ENERGY,Biogas,2.1,SANTA FE
C.T. TIGONBU,Biogas,2,SAN LUIS
P.S. CAUCHARI 1,Fotovoltaica,100,JUJUY
P.S. CAUCHARI 2,Fotovoltaica,100,JUJUY
P.S. CAUCHARI 3,Fotovoltaica,100,JUJUY
MALASPINA1 ENAR,Eolica,50.4,CHUBUT
H Guaym. Slto 8,Hidroelectrica (Menor a 50 Mw),1.2,MENDOZA
P.A.H. SALTO 7 CANAL CACIQUE GUAYMALLEN,Hidroelectrica (Menor a 50 Mw),1.2,MENDOZA
L.BLANC 3 ENARS,Eolica,51.2,CHUBUT
L.BLANC 1 ENARS,Eolica,51.2,CHUBUT
PE LOS HERCULES,Eolica,97.2,SANTA CRUZ
C.T. BIOGENERADORA SANTA CATALINA. CORDOBA,Biogas,2,CORDOBA
C.T. LA ESCONDIDA. INDUNOR S.A.,Biomasa,10,CHACO
C.T. Manantiales Behr II,Sin Tecnologia declarada,,CHUBUT
PE L. Blanca 6,Eolica,102.4,CHUBUT
C.T. AB ENERGIA. 25 DE MAYO . LA PAMPA,Biogas,2,LA PAMPA
Parque Eólico Los Teros II (MATER),Eolica,52.39,BUENOS AIRES
P.S. TIERRA SANTA,Fotovoltaica,0.45,SAN LUIS
C.T. RESENER I,Biogas,0.8,BUENOS AIRES
C.T. ARREBEEF ENERGIA,Biogas,1.5,BUENOS AIRES
P.S. GUAÑIZUIL II A,Fotovoltaica,100,SAN JUAN
P.A.H. CRUZ DEL EJE,Hidroelectrica (Menor a 50 Mw),0.5,CORDOBA
P.A.H. BOCA DEL RIO,Hidroelectrica (Menor a 50 Mw),0.5,CORDOBA
CT LOMA DE LA LATA MOTORES,Termica,15,NEUQUEN
C.T. BIOGAS SAN MARTIN NORTE III D,Biogas,5.1,BUENOS AIRES
P.S. ALTIPLANO I,Fotovoltaica,100,SALTA
P.S. La Puna,Fotovoltaica,100,SALTA
PE CAÑADON LEON,Eolica,101.52,SANTA CRUZ
P.E. Cañadon Leon (ampliacion),Eolica,21.15,SANTA CRUZ
P.A.H. SALTO 11 CANAL CACIQUE GUAYMALLEN,Hidroelectrica (Menor a 50 Mw),,MENDOZA
P.S.F.V TINOGASTA TOZZI,Fotovoltaica,,CATAMARCA
SALTO D LA LOMA,Hidroelectrica (Menor a 50 Mw),0.55,SAN JUAN
P.S.F.V HELIOS SANTA ROSA PV,Fotovoltaica,,MENDOZA
C.T. POLLOS SAN MATEO,Biogas,,CORDOBA
P.S. SIERRAS DEL ULLUM,Fotovoltaica,,SAN JUAN
S.Maria Catamar,Termica,3.2,CATAMARCA
Puerto Madryn,Termica,42,CHUBUT
N.Esperanza Pre,Termica,06.05,SANTIAGO DEL ESTERO
Necochea Eolico,Eolica,0.25,BUENOS AIRES
Goya,Termica,,CORRIENTES
CT ZAPPALORTO - APR ENERGY,Termica,109.04,BUENOS AIRES
CTBG BIO ENERGÍA YANQUETRUZ II,Biogas,0.8,SAN LUIS
PAH TRIPLE SALTO UNIFICADO,Hidroelectrica (Menor a 50 Mw),0.51,MENDOZA
PTA FOTOVOLTAICA S.JUAN I-EPSE,Fotovoltaica,0.48,SAN JUAN
C.H. SAN GUILLERMO SIEyE,Hidroelectrica (Menor a 50 Mw),0.1,SAN JUAN
MOLINO JUAN SEMINO SA,Hidroelectrica,,SANTA FE
EMSA GENERACION,Termica,2048,MISIONES
PAH SALTO DE LA LOMA,Hidroelectrica (Menor a 50 Mw),,SAN JUAN
PAPEL MISIONERO S.A.,Biomasa,,MISIONES
EMSA GENERACION,Termica,16.8,MISIONES
YPF CT MANANTIALES BEHR II AG,Termica,,CHUBUT
C.FOTOV. CAÑADA HONDA 3-ENARSA,Fotovoltaica,,SAN JUAN
BIOGAS RS CT GONZ. CATAN SECCO,Biogas,,BUENOS AIRES
CT BIOMASA GARRUCHOS,Biomasa,36,CORRIENTES
PQUE FOTOV.LA CUMBRE 3,Fotovoltaica,,SAN LUIS
EPEC GENERACION,Hidroelectrica (Menor a 50 Mw),1.1,CORDOBA
CT BIOMASA MM BIOENERGÍA,Biomasa,3,CORDOBA
EMSA GENERACION,Termica,2396,MISIONES
P.SOLAR ALTO TINOG3 BGOADROGUE,Fotovoltaica,,CATAMARCA
P.SOLAR ALTO TINOG2 BINGO KING,Fotovoltaica,,CATAMARCA
PQUE SOLAR ALTOS DE TINOGASTA,Fotovoltaica,,CATAMARCA
CT ACONCAGUA ENERGÍA AUTOGENER,Termica,,MENDOZA
COOP. MNO. MORENO BS. AS.GENER,Termica,7,BUENOS AIRES
CTBG GENERAL VILLEGAS Ren 2,Biogas,,BUENOS AIRES
ENERGIA AGRO S.A.U,Biogas,1415,SANTA FE
BIOGAS CTBG ENRECO,Biogas,2,CORDOBA
EPEC GENERACION,Hidroelectrica (Menor a 50 Mw),4.4,CORDOBA
CHORRIACA,Termica,,NEUQUEN
CHACHARRAMENDI,Termica,,LA PAMPA
SAN ANTONIO DE LOS COBRES,Termica,,SALTA
CENTRAL TÉRMICA PIEDRA NEGRA,Termica,,JUJUY
LA HUMADA,Termica,,LA PAMPA
ARBOL SOLO,Termica,,LA PAMPA
